,index_id,Rev_Date,Date,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Week,sales_diff
25,1-2010-07-30,2010-07-30,2010-07-30,1,1371986.6,0,81.84,2.64,211.3699032,7.787,7,2010,30,-13078.59999999986
35,1-2010-08-10,2010-08-10,2010-08-10,1,1508239.93,0,63.93,2.633,211.7467544,7.838,8,2010,32,136253.32999999984
27,1-2010-08-13,2010-08-13,2010-08-13,1,1508237.76,0,87.0,2.692,211.6394211,7.787,8,2010,32,-2.169999999925494
28,1-2010-08-20,2010-08-20,2010-08-20,1,1513080.49,0,86.65,2.664,211.6033633,7.787,8,2010,33,4842.729999999981
29,1-2010-08-27,2010-08-27,2010-08-27,1,1449142.92,0,85.22,2.619,211.5673056,7.787,8,2010,34,-63937.570000000065
9,1-2010-09-04,2010-09-04,2010-09-04,1,1545418.53,0,65.86,2.77,210.6228574,7.808,9,2010,35,96275.6100000001
22,1-2010-09-07,2010-09-07,2010-09-07,1,1546074.18,0,80.48,2.642,211.108414,7.787,9,2010,36,655.6499999999069
32,1-2010-09-17,2010-09-17,2010-09-17,1,1430378.67,0,82.11,2.582,211.5224596,7.787,9,2010,37,-115695.51000000001
33,1-2010-09-24,2010-09-24,2010-09-24,1,1351791.03,0,80.94,2.624,211.5972246,7.787,9,2010,38,-78587.6399999999
31,1-2010-10-09,2010-10-09,2010-10-09,1,1507460.69,1,78.69,2.565,211.4951902,7.787,10,2010,40,155669.65999999992
44,1-2010-10-12,2010-10-12,2010-10-12,1,1682614.26,0,46.33,2.843,211.4659526,7.838,10,2010,41,175153.57000000007
36,1-2010-10-15,2010-10-15,2010-10-15,1,1459409.1,0,67.18,2.72,211.8137436,7.838,10,2010,41,-223205.15999999992
37,1-2010-10-22,2010-10-22,2010-10-22,1,1345454.0,0,69.86,2.725,211.8612937,7.838,10,2010,42,-113955.1000000001
38,1-2010-10-29,2010-10-29,2010-10-29,1,1384209.22,0,69.64,2.716,211.9088438,7.838,10,2010,43,38755.21999999997
18,1-2010-11-06,2010-11-06,2010-11-06,1,1542561.09,0,80.43,2.668,211.4560951,7.808,11,2010,44,158351.8700000001
41,1-2010-11-19,2010-11-19,2010-11-19,1,1483784.18,0,51.41,2.771,211.8896737,7.838,11,2010,46,-58776.91000000015
42,1-2010-11-26,2010-11-26,2010-11-26,1,1955624.11,1,64.52,2.735,211.7484333,7.838,11,2010,47,471839.93000000017
1,1-2010-12-02,2010-12-02,2010-12-02,1,1641957.44,1,38.51,2.548,211.2421698,8.106,12,2010,48,-313666.67000000016
5,1-2010-12-03,2010-12-03,2010-12-03,1,1439541.59,0,57.79,2.667,211.3806429,8.106,12,2010,48,-202415.84999999986
40,1-2010-12-11,2010-12-11,2010-12-11,1,1494479.49,0,59.61,2.728,212.003944,7.838,12,2010,49,54937.89999999991
45,1-2010-12-17,2010-12-17,2010-12-17,1,1891034.93,0,49.84,2.869,211.4053124,7.838,12,2010,50,396555.43999999994
46,1-2010-12-24,2010-12-24,2010-12-24,1,2387950.2,0,52.33,2.886,211.4051222,7.838,12,2010,51,496915.27000000025
47,1-2010-12-31,2010-12-31,2010-12-31,1,1367320.01,1,48.43,2.943,211.4049321,7.838,12,2010,52,-1020630.1900000002
60,1-2011-01-04,2011-01-04,2011-01-04,1,1495064.75,0,59.17,3.524,214.8371664,7.682,1,2011,1,127744.73999999999
73,1-2011-01-07,2011-01-07,2011-01-07,1,1488538.09,0,85.55,3.524,215.1841368,7.962,1,2011,1,-6526.659999999916
49,1-2011-01-14,2011-01-14,2011-01-14,1,1391013.96,0,35.4,2.983,211.4574109,7.742,1,2011,2,-97524.13000000012
50,1-2011-01-21,2011-01-21,2011-01-21,1,1327405.42,0,44.04,3.016,211.8272343,7.742,1,2011,3,-63608.54000000004
51,1-2011-01-28,2011-01-28,2011-01-28,1,1316899.31,0,43.83,3.01,212.1970577,7.742,1,2011,4,-10506.10999999987
82,1-2011-02-09,2011-02-09,2011-02-09,1,1550229.22,0,87.83,3.533,215.7971409,7.962,2,2011,6,233329.90999999992
95,1-2011-02-12,2011-02-12,2011-02-12,1,1584083.95,0,48.91,3.172,218.7147333,7.866,2,2011,6,33854.72999999998
54,1-2011-02-18,2011-02-18,2011-02-18,1,1686842.78,0,57.36,3.045,213.2478853,7.742,2,2011,7,102758.83000000007
55,1-2011-02-25,2011-02-25,2011-02-25,1,1456800.28,0,62.9,3.065,213.535609,7.742,2,2011,8,-230042.5
69,1-2011-03-06,2011-03-06,2011-03-06,1,1635078.41,0,83.0,3.699,215.2736553,7.682,3,2011,9,178278.1299999999
58,1-2011-03-18,2011-03-18,2011-03-18,1,1576818.06,0,62.76,3.488,214.3627114,7.742,3,2011,11,-58260.34999999986
59,1-2011-03-25,2011-03-25,2011-03-25,1,1541102.38,0,69.97,3.473,214.5999389,7.742,3,2011,12,-35715.68000000017
52,1-2011-04-02,2011-04-02,2011-04-02,1,1606629.58,0,42.27,2.989,212.5668812,7.742,4,2011,13,65527.200000000186
56,1-2011-04-03,2011-04-03,2011-04-03,1,1636263.41,0,59.58,3.288,213.8233327,7.742,4,2011,13,29633.82999999984
91,1-2011-04-11,2011-04-11,2011-04-11,1,1697229.58,0,54.98,3.332,217.837382,7.866,4,2011,15,60966.17000000016
62,1-2011-04-15,2011-04-15,2011-04-15,1,1559889.0,0,71.27,3.743,215.2918561,7.682,4,2011,15,-137340.58000000007
63,1-2011-04-22,2011-04-22,2011-04-22,1,1564819.81,0,72.99,3.807,215.4599053,7.682,4,2011,16,4930.810000000056
64,1-2011-04-29,2011-04-29,2011-04-29,1,1455090.69,0,72.03,3.81,215.6279544,7.682,4,2011,17,-109729.12000000011
78,1-2011-05-08,2011-05-08,2011-05-08,1,1624383.75,0,91.65,3.684,215.544618,7.962,5,2011,18,169293.06000000006
66,1-2011-05-13,2011-05-13,2011-05-13,1,1604775.58,0,75.64,3.899,215.9640526,7.682,5,2011,19,-19608.169999999925
67,1-2011-05-20,2011-05-20,2011-05-20,1,1428218.27,0,67.63,3.907,215.7339202,7.682,5,2011,20,-176557.31000000006
68,1-2011-05-27,2011-05-27,2011-05-27,1,1466046.67,0,77.72,3.786,215.5037878,7.682,5,2011,21,37828.39999999991
65,1-2011-06-05,2011-06-05,2011-06-05,1,1629391.28,0,64.61,3.906,215.7960035,7.682,6,2011,22,163344.6100000001
71,1-2011-06-17,2011-06-17,2011-06-17,1,1532114.86,0,86.41,3.637,214.9980596,7.682,6,2011,24,-97276.41999999993
72,1-2011-06-24,2011-06-24,2011-06-24,1,1438830.15,0,83.58,3.594,215.0910982,7.682,6,2011,25,-93284.7100000002
48,1-2011-07-01,2011-07-01,2011-07-01,1,1444732.28,0,48.27,2.976,211.4047419,7.742,7,2011,26,5902.130000000121
87,1-2011-07-10,2011-07-10,2011-07-10,1,1630989.95,0,69.31,3.285,217.0453684,7.866,7,2011,27,186257.66999999993
75,1-2011-07-15,2011-07-15,2011-07-15,1,1455119.97,0,88.54,3.575,215.3611087,7.962,7,2011,28,-175869.97999999998
76,1-2011-07-22,2011-07-22,2011-07-22,1,1396926.82,0,85.77,3.651,215.4222784,7.962,7,2011,29,-58193.14999999991
77,1-2011-07-29,2011-07-29,2011-07-29,1,1352219.79,0,86.83,3.682,215.4834482,7.962,7,2011,30,-44707.03000000003
61,1-2011-08-04,2011-08-04,2011-08-04,1,1614259.35,0,67.84,3.622,215.0743939,7.682,8,2011,31,262039.56000000006
74,1-2011-08-07,2011-08-07,2011-08-07,1,1534849.64,0,85.83,3.48,215.2771754,7.962,8,2011,31,-79409.7100000002
80,1-2011-08-19,2011-08-19,2011-08-19,1,1530761.43,0,89.94,3.554,215.6693107,7.962,8,2011,33,-4088.2099999999627
81,1-2011-08-26,2011-08-26,2011-08-26,1,1464693.46,0,87.96,3.523,215.7332258,7.962,8,2011,34,-66067.96999999997
83,1-2011-09-09,2011-09-09,2011-09-09,1,1540471.24,1,76.0,3.546,215.861056,7.962,9,2011,36,75777.78000000003
96,1-2011-09-12,2011-09-12,2011-09-12,1,1799682.38,0,43.93,3.158,218.9618456,7.866,9,2011,37,259211.1399999999
84,1-2011-09-16,2011-09-16,2011-09-16,1,1514259.78,0,79.94,3.526,216.0410526,7.962,9,2011,37,-285422.59999999986
85,1-2011-09-23,2011-09-23,2011-09-23,1,1380020.27,0,75.8,3.467,216.3758246,7.962,9,2011,38,-134239.51
86,1-2011-09-30,2011-09-30,2011-09-30,1,1394561.83,0,79.69,3.355,216.7105965,7.962,9,2011,39,14541.560000000056
70,1-2011-10-06,2011-10-06,2011-10-06,1,1588948.32,0,83.13,3.648,215.0435229,7.682,10,2011,40,194386.49
88,1-2011-10-14,2011-10-14,2011-10-14,1,1493525.93,0,71.74,3.274,217.3552733,7.866,10,2011,41,-95422.39000000013
89,1-2011-10-21,2011-10-21,2011-10-21,1,1502562.78,0,63.71,3.353,217.5159762,7.866,10,2011,42,9036.850000000093
90,1-2011-10-28,2011-10-28,2011-10-28,1,1445249.09,0,66.57,3.372,217.6766791,7.866,10,2011,43,-57313.689999999944
53,1-2011-11-02,2011-11-02,2011-11-02,1,1649614.93,1,36.39,3.022,212.9367046,7.742,11,2011,44,204365.83999999985
57,1-2011-11-03,2011-11-03,2011-11-03,1,1553191.63,0,53.56,3.459,214.1110564,7.742,11,2011,44,-96423.30000000005
92,1-2011-11-11,2011-11-11,2011-11-11,1,1594938.89,0,59.11,3.297,217.9980849,7.866,11,2011,45,41747.26000000001
93,1-2011-11-18,2011-11-18,2011-11-18,1,1539483.7,0,62.25,3.308,218.2205088,7.866,11,2011,46,-55455.189999999944
94,1-2011-11-25,2011-11-25,2011-11-25,1,2033320.66,1,60.14,3.236,218.4676211,7.866,11,2011,47,493836.95999999996
79,1-2011-12-08,2011-12-08,2011-12-08,1,1525147.09,0,90.76,3.638,215.6057878,7.962,12,2011,49,-508173.56999999983
97,1-2011-12-16,2011-12-16,2011-12-16,1,1881176.67,0,51.63,3.159,219.1794533,7.866,12,2011,50,356029.57999999984
98,1-2011-12-23,2011-12-23,2011-12-23,1,2270188.99,0,47.96,3.112,219.3577216,7.866,12,2011,51,389012.3200000003
99,1-2011-12-30,2011-12-30,2011-12-30,1,1497462.72,1,44.55,3.129,219.5359898,7.866,12,2011,52,-772726.2700000003
121,1-2012-01-06,2012-01-06,2012-01-06,1,1624477.58,0,77.95,3.501,221.7472139,7.143,1,2012,1,127014.8600000001
101,1-2012-01-13,2012-01-13,2012-01-13,1,1459601.17,0,48.53,3.261,219.8925263,7.348,1,2012,2,-164876.41000000015
102,1-2012-01-20,2012-01-20,2012-01-20,1,1394393.84,0,54.11,3.268,219.9856893,7.348,1,2012,3,-65207.32999999984
103,1-2012-01-27,2012-01-27,2012-01-27,1,1319325.59,0,54.26,3.29,220.0788523,7.348,1,2012,4,-75068.25
108,1-2012-02-03,2012-02-03,2012-02-03,1,1688420.76,0,60.96,3.63,220.8480454,7.348,2,2012,5,369095.1699999999
106,1-2012-02-17,2012-02-17,2012-02-17,1,1819870.0,0,45.32,3.51,220.4257586,7.348,2,2012,7,131449.24
107,1-2012-02-24,2012-02-24,2012-02-24,1,1539387.83,0,57.25,3.555,220.636902,7.348,2,2012,8,-280482.1699999999
104,1-2012-03-02,2012-03-02,2012-03-02,1,1636339.65,0,56.55,3.36,220.1720153,7.348,3,2012,9,96951.81999999983
130,1-2012-03-08,2012-03-08,2012-03-08,1,1631135.79,0,86.11,3.417,221.9498642,6.908,3,2012,10,-5203.85999999987
110,1-2012-03-16,2012-03-16,2012-03-16,1,1677472.78,0,64.74,3.734,221.2118132,7.348,3,2012,11,46336.98999999999
111,1-2012-03-23,2012-03-23,2012-03-23,1,1511068.07,0,65.93,3.787,221.2864126,7.348,3,2012,12,-166404.70999999996
112,1-2012-03-30,2012-03-30,2012-03-30,1,1649604.63,0,67.61,3.845,221.3610119,7.348,3,2012,13,138536.55999999982
117,1-2012-04-05,2012-04-05,2012-04-05,1,1684519.99,0,75.55,3.749,221.6718,7.143,4,2012,14,34915.3600000001
114,1-2012-04-13,2012-04-13,2012-04-13,1,1621031.7,0,69.07,3.891,221.5102105,7.143,4,2012,15,-63488.29000000004
115,1-2012-04-20,2012-04-20,2012-04-20,1,1521577.87,0,66.76,3.877,221.5640737,7.143,4,2012,16,-99453.82999999984
116,1-2012-04-27,2012-04-27,2012-04-27,1,1468928.37,0,67.23,3.814,221.6179368,7.143,4,2012,17,-52649.5
139,1-2012-05-10,2012-05-10,2012-05-10,1,1670785.97,0,68.55,3.617,223.1814772,6.573,5,2012,19,201857.59999999986
119,1-2012-05-18,2012-05-18,2012-05-18,1,1595901.87,0,70.33,3.63,221.742674,7.143,5,2012,20,-74884.09999999986
120,1-2012-05-25,2012-05-25,2012-05-25,1,1555444.55,0,77.22,3.561,221.744944,7.143,5,2012,21,-40457.320000000065
100,1-2012-06-01,2012-06-01,2012-06-01,1,1550369.92,0,49.01,3.157,219.7142581,7.348,6,2012,22,-5074.630000000121
113,1-2012-06-04,2012-06-04,2012-06-04,1,1899676.88,0,70.43,3.891,221.4356112,7.143,6,2012,23,349306.95999999996
126,1-2012-06-07,2012-06-07,2012-06-07,1,1769854.16,0,81.57,3.227,221.8837789,6.908,6,2012,23,-129822.71999999997
123,1-2012-06-15,2012-06-15,2012-06-15,1,1630607.0,0,79.35,3.393,221.7626421,7.143,6,2012,24,-139247.15999999992
124,1-2012-06-22,2012-06-22,2012-06-22,1,1527845.81,0,78.39,3.346,221.8030211,7.143,6,2012,25,-102761.18999999994
125,1-2012-06-29,2012-06-29,2012-06-29,1,1540421.49,0,84.88,3.286,221.8434,7.143,6,2012,26,12575.679999999935
135,1-2012-07-09,2012-07-09,2012-07-09,1,1661767.33,1,83.96,3.73,222.4390153,6.908,7,2012,28,121345.84000000008
127,1-2012-07-13,2012-07-13,2012-07-13,1,1527014.04,0,77.12,3.256,221.9241579,6.908,7,2012,28,-134753.29000000004
128,1-2012-07-20,2012-07-20,2012-07-20,1,1497954.76,0,80.42,3.311,221.9327267,6.908,7,2012,29,-29059.280000000028
129,1-2012-07-27,2012-07-27,2012-07-27,1,1439123.71,0,82.66,3.407,221.9412954,6.908,7,2012,30,-58831.05000000005
122,1-2012-08-06,2012-08-06,2012-08-06,1,1697230.96,0,78.3,3.452,221.7494839,7.143,8,2012,32,258107.25
132,1-2012-08-17,2012-08-17,2012-08-17,1,1597868.05,0,84.85,3.571,222.0384109,6.908,8,2012,33,-99362.90999999992
133,1-2012-08-24,2012-08-24,2012-08-24,1,1494122.38,0,77.66,3.62,222.1719457,6.908,8,2012,34,-103745.67000000016
134,1-2012-08-31,2012-08-31,2012-08-31,1,1582083.4,0,80.49,3.638,222.3054805,6.908,8,2012,35,87961.02000000002
109,1-2012-09-03,2012-09-03,2012-09-03,1,1675431.16,0,58.76,3.669,221.0591887,7.348,9,2012,36,93347.76000000001
136,1-2012-09-14,2012-09-14,2012-09-14,1,1517428.87,0,74.97,3.717,222.5820193,6.908,9,2012,37,-158002.2899999998
137,1-2012-09-21,2012-09-21,2012-09-21,1,1506126.06,0,69.87,3.721,222.7818386,6.908,9,2012,38,-11302.810000000056
138,1-2012-09-28,2012-09-28,2012-09-28,1,1437059.26,0,76.08,3.666,222.9816579,6.908,9,2012,39,-69066.80000000005
105,1-2012-10-02,2012-10-02,2012-10-02,1,1802477.43,1,48.02,3.409,220.2651783,7.348,10,2012,40,365418.1699999999
131,1-2012-10-08,2012-10-08,2012-10-08,1,1592409.97,0,85.05,3.494,221.9584329,6.908,10,2012,41,-210067.45999999996
141,1-2012-10-19,2012-10-19,2012-10-19,1,1508068.77,0,67.97,3.594,223.4257233,6.573,10,2012,42,-84341.19999999995
142,1-2012-10-26,2012-10-26,2012-10-26,1,1493659.74,0,69.16,3.506,223.4442513,6.573,10,2012,43,-14409.030000000028
118,1-2012-11-05,2012-11-05,2012-11-05,1,1611096.05,0,73.77,3.688,221.7256632,7.143,11,2012,45,117436.31000000006
140,1-2012-12-10,2012-12-10,2012-12-10,1,1573072.81,0,62.99,3.601,223.3812965,6.573,12,2012,50,-38023.23999999999
